,n_tag,len_tag,tag1,tag2
0,7,2,client,management
1,6,2,teaching,management
2,5,2,coding,research
3,5,2,coding,documenting
4,4,2,coding,teaching
5,4,2,client,presentation
6,4,2,client,feedback
7,4,2,feedback,research
8,3,2,research,data_collection
9,3,2,meeting,data_collection
10,3,2,presentation,teaching
11,3,2,documenting,management
12,3,2,meeting,management
13,3,2,presentation,research
14,3,2,presentation,documenting
15,2,2,coding,feedback
16,2,2,client,meeting
17,2,2,documenting,meeting
18,2,2,feedback,data_collection
19,2,2,teaching,meeting
20,2,2,client,documenting
21,2,2,presentation,feedback
22,2,2,research,management
23,2,2,client,data_collection
24,1,2,coding,management
25,1,2,dashboard,data_collection
26,1,2,feedback,teaching
27,1,2,coding,presentation
28,1,2,blogging,presentation
29,1,2,blogging,feedback
30,1,2,feedback,documenting
31,1,2,client,coding
32,1,2,coding,style_guide
33,1,2,coding,data_collection
34,1,2,feedback,management
35,1,2,presentation,management
36,1,2,research,meeting
37,1,2,management,data_collection
38,1,2,documenting,style_guide
39,1,2,client,teaching
40,1,2,dashboard,management
41,1,2,teaching,documenting
42,1,2,presentation,web_design
