task,role,w_avg,task_id
TimeDataPrep,Analyst,0.11909036505086773,1
TimeDataAnalysis,Analyst,0.11693596648713343,2
TimeIdeating,Analyst,0.06487133453022144,3
TimeProducingViz,Analyst,0.1126271693596649,4
TimeOtherVizTasks,Analyst,0.04165170556552962,0
TimeDataPrep,None of these describes my role,0.08324324324324324,1
TimeDataAnalysis,None of these describes my role,0.08684684684684685,2
TimeIdeating,None of these describes my role,0.07027027027027027,3
TimeProducingViz,None of these describes my role,0.09315315315315315,4
TimeOtherVizTasks,None of these describes my role,0.05405405405405406,0
TimeDataPrep,"Leadership (Manager, Director, VP, etc.)",0.08664421997755331,1
TimeDataAnalysis,"Leadership (Manager, Director, VP, etc.)",0.08956228956228957,2
TimeIdeating,"Leadership (Manager, Director, VP, etc.)",0.07946127946127947,3
TimeProducingViz,"Leadership (Manager, Director, VP, etc.)",0.09876543209876544,4
TimeOtherVizTasks,"Leadership (Manager, Director, VP, etc.)",0.06980920314253648,0
TimeDataPrep,Designer,0.060553129548762734,1
TimeDataAnalysis,Designer,0.06026200873362446,2
TimeIdeating,Designer,0.1007278020378457,3
TimeProducingViz,Designer,0.15050946142649202,4
TimeOtherVizTasks,Designer,0.07976710334788936,0
TimeDataPrep,Developer,0.11,1
TimeDataAnalysis,Developer,0.09037037037037035,2
TimeIdeating,Developer,0.0725925925925926,3
TimeProducingViz,Developer,0.14222222222222222,4
TimeOtherVizTasks,Developer,0.06444444444444444,0
TimeDataPrep,Scientist,0.12677595628415303,1
TimeDataAnalysis,Scientist,0.126775956284153,2
TimeIdeating,Scientist,0.0644808743169399,3
TimeProducingViz,Scientist,0.1005464480874317,4
TimeOtherVizTasks,Scientist,0.05573770491803279,0
TimeDataPrep,Academic/Teacher,0.09064327485380115,1
TimeDataAnalysis,Academic/Teacher,0.10877192982456142,2
TimeIdeating,Academic/Teacher,0.06725146198830408,3
TimeProducingViz,Academic/Teacher,0.09239766081871344,4
TimeOtherVizTasks,Academic/Teacher,0.05847953216374269,0
TimeDataPrep,Student,0.09215686274509803,1
TimeDataAnalysis,Student,0.08562091503267974,2
TimeIdeating,Student,0.07320261437908497,3
TimeProducingViz,Student,0.1019607843137255,4
TimeOtherVizTasks,Student,0.047712418300653585,0
TimeDataPrep,Engineer,0.09931972789115646,1
TimeDataAnalysis,Engineer,0.0870748299319728,2
TimeIdeating,Engineer,0.06666666666666667,3
TimeProducingViz,Engineer,0.11836734693877551,4
TimeOtherVizTasks,Engineer,0.07142857142857144,0
TimeDataPrep,Journalist,0.10208333333333333,1
TimeDataAnalysis,Journalist,0.09479166666666666,2
TimeIdeating,Journalist,0.09166666666666666,3
TimeProducingViz,Journalist,0.13541666666666666,4
TimeOtherVizTasks,Journalist,0.065625,0
TimeDataPrep,Teacher,0.06666666666666667,1
TimeDataAnalysis,Teacher,0.050793650793650794,2
TimeIdeating,Teacher,0.0857142857142857,3
TimeProducingViz,Teacher,0.11111111111111112,4
TimeOtherVizTasks,Teacher,0.10158730158730159,0
TimeDataPrep,Cartographer,0.09696969696969696,1
TimeDataAnalysis,Cartographer,0.07272727272727272,2
TimeIdeating,Cartographer,0.07272727272727272,3
TimeProducingViz,Cartographer,0.10909090909090909,4
TimeOtherVizTasks,Cartographer,0.0303030303030303,0
